objectid,lad17cd,lad17nm,lad17nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
380,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,279261,195412,-3.74638,51.6445,0.0574860636335262,1.99058285806285
381,W06000013,Bridgend,Pen-y-bont ar Ogwr,288242,185868,-3.61359,51.5606,0.0325074904450708,1.04975871213724
382,W06000014,Vale of Glamorgan,Bro Morgannwg,302946,173083,-3.39803,51.4484,0.0428280346324568,1.29145341809063
383,W06000015,Cardiff,Caerdydd,315270,178887,-3.22212,51.5025,0.0184358954110767,0.927821039901764
384,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,192395,-3.41359,51.6218,0.055093247710887,1.46788576653407
385,W06000018,Caerphilly,Caerffili,317245,195259,-3.19753,51.65,0.0360317487053651,1.30236500856373
386,W06000019,Blaenau Gwent,Blaenau Gwent,318236,206771,-3.18592,51.7536,0.0141598832040108,0.760185859219118
387,W06000020,Torfaen,Torfaen,327459,200480,-3.05101,51.6984,0.0164149756270519,0.92873129519432
388,W06000021,Monmouthshire,Sir Fynwy,337812,209231,-2.9028,51.7783,0.110743047159045,2.59062403298047
389,W06000022,Newport,Casnewydd,337897,187433,-2.89769,51.5823,0.0247109319909943,1.79374556614484
390,W06000023,Powys,Powys,302328,273254,-3.43533,52.3486,0.685025793980726,7.09903335612928
391,W06000024,Merthyr Tydfil,Merthyr Tudful,305916,206424,-3.36425,51.7486,0.0145684093316556,0.73019473154108
